Site,Sample,Aperture
KM1048,926,24.02
KM1048,926,18.13
KM1048,926,20.07
KM1050,343,21.66
KM1050,343,24.57
KM1050,343,24.61
KM1050,343,25.21
KM1050,343,24.21
KM1050,343,24.24
KM1050,343,25.61
KM1050,343,23.44
KM1050,343,20.51
KM1050,343,21.45
KM1050,343,23.09
KM1050,343,24.5
KM1050,343,21.7
KM1050,343,20.57
KM1050,343,20.76
KM1050,343,22.55
KM1050,343,23.37
KM1050,343,23.25
KM1050,343,22.34
KM1050,343,25.07
KM1050,343,23.68
KM1050,343,24.16
KM1050,343,23.14
KM1050,343,23.71
KM1050,343,26.9
KM1050,343,22.67
KM1050,343,24.94
KM1050,343,25.23
KM1050,343,22.78
KM1050,343,24.47
KM1050,343,20.05
KM1050,343,22.72
KM1050,343,21.64
KM1050,343,23.63
KM1050,343,25.31
KM1050,343,23.38
KM1050,343,24.08
KM1050,343,21.12
KM1050,343,24.24
KM1050,343,24.93
KM1050,343,19.98
KM1050,343,24.21
KM1050,343,24.11
KM1050,343,23.8
KM1050,343,20.39
KM1050,343,25.59
KM1050,343,27.69
KM1050,343,21.2
KM1050,343,23.86
KM1050,343,20.27
KM1050,343,21.65
KM1050,343,19.46
KM1050,343,22.46
KM1050,343,22.75
KM1050,343,25.98
KM1050,343,24.09
KM1050,343,22.46
KM1050,343,22.4
KM1050,343,23.82
KM1050,343,22.87
KM1050,343,24.47
KM1050,343,24.05
KM1050,343,22.12
KM1050,343,21.99
KM1050,343,25.14
KM1050,343,23.23
KM1050,343,23.44
KM1050,343,23.69
KM1050,343,23.53
KM1050,343,24.96
KM1050,343,20.04
KM1050,343,23.69
KM1050,343,25.49
KM1050,343,22.18
KM1050,343,22.83
KM1050,343,21.99
KM1050,343,23.41
KM1050,343,24.05
KM1050,344,25.95
KM1050,344,24.17
KM1050,344,21.87
KM1050,344,25.01
KM1050,344,22.74
KM1050,344,22.74
KM1050,344,22.21
KM1050,344,24.4
KM1050,344,23.07
KM1050,344,20.43
KM1050,344,26.86
KM1050,344,25.16
KM1050,344,23.63
KM1050,344,23.68
KM1050,344,22.69
KM1050,344,22.61
KM1050,344,22.44
KM1050,344,20.92
KM1050,344,21
KM1050,344,23.5
KM1050,344,24.4
KM1050,344,24.93
KM1050,344,19.34
KM1050,344,20.94
KM1050,344,23.91
KM1050,344,24.67
KM1050,344,21
KM1050,344,23.01
KM1050,344,22.85
KM1050,344,22.04
KM1050,344,25.65
KM1050,344,23.94
KM1050,344,21.38
KM1050,344,24.6
KM1050,344,26.49
KM1050,344,24.14
KM1050,344,21.98
KM1050,344,24.55
KM1050,344,23.25
KM1050,344,20.77
KM1050,344,21.49
KM1050,344,22.53
KM1050,344,21.97
KM1050,344,21.52
KM1050,344,23.95
KM1050,344,22.06
KM1050,344,19.86
KM1050,344,20.84
KM1050,344,22.81
KM1050,344,25.3
KM1050,344,23.2
KM1050,344,23.37
KM1050,344,24.11
KM1050,344,23.17
KM1050,344,21.18
KM1050,344,20.46
KM1050,344,21.74
KM1050,344,20.96
KM1050,344,24.27
KM1050,344,26.41
KM1050,344,23.67
KM1050,344,25.4
KM1050,344,19.72
KM1050,344,24.46
KM1050,344,23.74
KM1050,344,20.64
KM1050,344,25.41
KM1050,344,24.53
KM1050,344,22.63
KM1050,344,24.26
KM1050,344,23.14
KM1050,344,21.63
KM1050,344,23.61
KM1050,344,23.32
KM1050,344,23.1
KM1050,344,21.85
KM1050,344,25.01
KM1050,344,26
KM1050,344,22.78
KM1050,345,20.02
KM1050,345,23.1
KM1050,345,25.06
KM1050,345,23.27
KM1050,345,25.58
KM1050,345,22.9
KM1050,345,26.17
KM1050,345,25.48
KM1050,345,23.27
KM1050,345,23.1
KM1050,345,21.18
KM1050,345,21.21
KM1050,345,21.65
KM1050,345,21.11
KM1050,345,21.83
KM1050,345,24.07
KM1050,345,25.83
KM1050,345,23.23
KM1050,345,21.75
KM1050,345,20.43
KM1050,345,25.03
KM1050,345,26.8
KM1050,345,23.93
KM1050,345,24.05
KM1050,345,22.08
KM1050,345,21.17
KM1050,345,22.84
KM1050,345,22.01
KM1050,345,22.04
KM1050,345,23.08
KM1050,345,24.45
KM1050,345,20.46
KM1050,345,24.95
KM1050,345,23.19
KM1050,345,24.03
KM1050,345,25.03
KM1050,345,22.26
KM1050,345,20.56
KM1050,346,25.05
KM1050,346,23.81
KM1050,346,22.09
KM1050,346,23.61
KM1050,346,21.29
KM1050,346,23.87
KM1050,346,21.93
KM1050,346,22.38
KM1050,346,21.38
KM1050,346,21.5
KM1050,346,25.8
KM1050,346,20.9
KM1050,346,23.09
KM1050,346,22.38
KM1050,346,20.89
KM1050,346,25.45
KM1050,346,22.48
KM1050,346,22.21
KM1050,346,21.82
KM1050,346,23.08
KM1050,346,24.99
KM1050,346,24.8
KM1050,346,21.19
KM1050,346,24.45
KM1050,346,23
KM1050,346,21.52
KM1050,346,24.99
KM1050,346,20.03
KM1050,346,23.64
KM1050,346,22.87
KM1050,346,23.91
KM1050,346,22.09
KM1050,346,24.11
KM1050,346,21.93
KM1050,346,21.03
KM1050,346,24.77
KM1050,346,23.71
KM1050,346,21.31
KM1050,346,23.69
KM1050,346,21.88
KM1050,346,21.84
KM1050,346,20.01
KM1050,346,24.81
KM1050,347,23.98
KM1050,347,21.99
KM1050,347,25.09
KM1050,347,26.32
KM1050,347,24.35
KM1050,347,23.47
KM1050,347,20.15
KM1050,347,21.95
KM1050,347,22.12
KM1050,347,22.97
KM1050,347,24.62
KM1050,347,25.08
KM1050,347,21.94
KM1050,347,21.87
KM1050,347,22.63
KM1050,347,21.24
KM1050,347,19.7
KM1050,347,22.85
KM1050,347,23.23
KM1050,347,24.76
KM1050,347,23.31
KM1050,347,22.94
KM1050,347,24.75
KM1050,347,28.46
KM1050,347,22.59
KM1050,347,24.19
KM1050,347,24.03
KM1050,347,23.88
KM1050,347,24.38
KM1050,347,21.87
KM1050,347,19.96
KM1050,347,18.7
KM1050,347,23.37
KM1050,347,20.45
KM1050,347,25.62
KM1050,347,22.48
KM1050,347,25.95
KM1050,348,24.72
KM1050,348,23.31
KM1050,348,21.24
KM1050,348,25.56
KM1050,348,24.95
KM1050,348,22.17
KM1050,348,25.12
KM1050,348,22.67
KM1050,348,20.16
KM1050,348,25.23
KM1050,348,24.43
KM1050,348,20.69
KM1050,348,21.13
KM1050,348,22.49
KM1050,348,18.25
KM1050,348,19.34
KM1050,348,21.85
KM1050,348,20.56
KM1050,348,21.33
KM1050,348,23.27
KM1051,338,20.03
KM1051,338,24.26
KM1051,338,23.58
KM1051,338,26.21
KM1051,338,22.63
KM1051,338,22.71
KM1051,338,24.15
KM1051,338,24.32
KM1051,338,22.28
KM1051,338,21.91
KM1051,338,22.26
KM1051,338,21.67
KM1051,338,23.1
KM1051,338,23.86
