Sample No,Strombus fasciatus             (Born 1778) Aperture
2927,17.64
2927,17.96
2927,18.04
2927,18.3
2927,18.33
2927,18.58
2927,18.87
2927,19.02
2927,19.48
2927,20.11
2927,20.43
2927,20.48
2927,20.48
2927,20.7
2927,20.92
2927,21.02
2927,21.05
2927,21.47
2927,21.65
2927,21.73
2927,21.81
2927,21.93
2927,22.1
2927,22.25
2927,22.38
2927,22.43
2927,22.66
2927,22.92
2927,23.31
2927,23.97
2928,17.55
2928,18.6
2928,18.86
2928,19.29
2928,19.53
2928,19.96
2928,20.31
2928,20.88
2928,21.21
2928,21.55
2928,21.62
2929,17.74
2929,18.46
2929,18.54
2929,19.07
2929,19.52
2929,19.75
2929,19.92
2929,19.93
2929,20
2929,20
2929,20.05
2929,20.17
2929,20.21
2929,20.22
2929,20.37
2929,20.37
2929,20.37
2929,20.48
2929,20.55
2929,20.57
2929,20.7
2929,20.88
2929,20.94
2929,20.96
2929,21.11
2929,21.11
2929,21.49
2929,21.64
2929,21.7
2929,21.95
2929,22.1
2929,22.14
2929,22.26
2929,22.82
2929,22.83
2929,22.98
2929,23.51
2929,23.91
2930,18.91
2930,20.14
2930,20.34
2930,20.36
2930,20.59
2930,21.6
2930,22.41
2931,18.26
2931,18.59
2931,18.64
2931,19.03
2931,19.14
2931,19.15
2931,19.16
2931,19.58
2931,19.59
2931,19.6
2931,19.61
2931,19.64
2931,19.66
2931,19.76
2931,19.84
2931,19.97
2931,20
2931,20.14
2931,20.2
2931,20.21
2931,20.28
2931,20.31
2931,20.35
2931,20.45
2931,20.5
2931,20.5
2931,20.5
2931,20.53
2931,20.53
2931,20.68
2931,20.71
2931,20.75
2931,20.9
2931,20.96
2931,21.11
2931,21.11
2931,21.17
2931,21.29
2931,21.3
2931,21.31
2931,21.32
2931,21.49
2931,21.84
2931,21.85
2931,21.9
2931,21.92
2931,21.92
2931,22
2931,22.04
2931,22.14
2931,22.33
2931,22.35
2931,23.11
2931,23.2
2931,23.57
2931,23.61
2931,24.24
2931,24.45
2931,24.61
2931,24.86
2932,17.55
2932,18.62
2932,18.66
2932,18.84
2932,18.87
2932,18.87
2932,18.93
2932,18.94
2932,19.03
2932,19.16
2932,19.29
2932,19.32
2932,19.33
2932,19.51
2932,19.52
2932,19.59
2932,19.64
2932,19.67
2932,19.68
2932,19.77
2932,19.97
2932,20
2932,20.04
2932,20.05
2932,20.05
2932,20.26
2932,20.34
2932,20.37
2932,20.39
2932,20.51
2932,20.6
2932,20.74
2932,20.78
2932,20.88
2932,20.95
2932,21.1
2932,21.2
2932,21.24
2932,21.31
2932,21.37
2932,21.41
2932,21.49
2932,21.52
2932,21.59
2932,21.61
2932,21.73
2932,21.83
2932,21.88
2932,21.88
2932,22.2
2932,22.45
2932,22.46
2932,22.57
2932,22.6
2932,22.62
2932,22.69
2932,22.83
2932,22.86
2932,22.86
2932,22.86
2932,22.87
2932,22.92
2932,23.12
2932,23.95
2932,24.48
2932,26.26
2933,18.37
2933,18.69
2933,19
2933,19
2933,19.02
2933,19.14
2933,19.18
2933,19.22
2933,19.22
2933,19.29
2933,19.38
2933,19.41
2933,19.43
2933,19.54
2933,19.59
2933,19.66
2933,19.69
2933,19.76
2933,19.76
2933,19.9
2933,19.91
2933,19.92
2933,19.94
2933,19.95
2933,20.06
2933,20.07
2933,20.07
2933,20.12
2933,20.17
2933,20.18
2933,20.29
2933,20.3
2933,20.31
2933,20.39
2933,20.42
2933,20.45
2933,20.63
2933,20.64
2933,20.65
2933,20.66
2933,20.89
2933,21
2933,21.01
2933,21.01
2933,21.04
2933,21.15
2933,21.19
2933,21.29
2933,21.29
2933,21.36
2933,21.38
2933,21.4
2933,21.42
2933,21.51
2933,21.53
2933,21.56
2933,21.66
2933,21.69
2933,21.69
2933,21.77
2933,21.98
2933,22
2933,22.15
2933,22.18
2933,22.21
2933,22.27
2933,22.3
2933,22.33
2933,22.44
2933,22.49
2933,22.54
2933,22.62
2933,22.85
2933,23.06
2933,23.23
2933,23.26
2933,23.4
2933,23.41
2933,23.5
2933,23.66
2933,24.06
2933,24.34
2933,24.71
2933,25.39
2934,17.3
2934,19.04
2934,19.35
2934,19.46
2934,19.74
2934,19.81
2934,20.11
2934,20.3
2934,20.44
2934,20.54
2934,21.07
2934,21.58
2935,19
2935,19.18
2935,20.1
2935,20.28
2935,20.34
2935,20.53
2935,20.53
2935,20.55
2935,20.6
2935,20.7
2935,20.95
2935,20.97
2935,21.52
2935,21.58
2935,21.64
2935,21.68
2935,21.86
2935,22.9
2935,23.04
2935,23.97
2936,18.12
2936,18.66
2936,18.67
2936,18.93
2936,19
2936,19.08
2936,19.21
2936,19.24
2936,19.37
2936,19.43
2936,19.48
2936,19.6
2936,19.66
2936,19.67
2936,19.7
2936,19.73
2936,19.89
2936,19.89
2936,19.95
2936,19.98
2936,20.05
2936,20.17
2936,20.24
2936,20.32
2936,20.38
2936,20.49
2936,20.49
2936,20.49
2936,20.49
2936,20.52
2936,20.58
2936,20.6
2936,20.6
2936,20.62
2936,20.64
2936,20.79
2936,20.84
2936,20.85
2936,20.95
2936,20.99
2936,21.11
2936,21.12
2936,21.28
2936,21.28
2936,21.32
2936,21.4
2936,21.44
2936,21.46
2936,21.48
2936,21.49
2936,21.61
2936,21.61
2936,21.65
2936,21.69
2936,21.69
2936,21.74
2936,21.75
2936,21.76
2936,21.81
2936,21.85
2936,22.08
2936,22.2
2936,22.24
2936,22.26
2936,22.37
2936,22.39
2936,22.42
2936,22.62
2936,22.69
2936,22.85
2936,22.95
2936,23.02
2936,23.05
2936,23.06
2936,23.08
2936,23.19
2936,23.2
2936,23.29
2936,23.35
2936,23.56
2936,23.78
2936,24.2
2936,24.5
2937,18.8
2937,19.49
2937,19.49
2937,19.5
2937,19.63
2937,19.68
2937,19.77
2937,19.87
2937,20.02
2937,20.03
2937,20.25
2937,20.39
2937,20.4
2937,20.62
2937,20.68
2937,21
2937,21.1
2937,21.31
2937,21.32
2937,21.4
2937,21.53
2937,21.69
2937,21.89
2937,22.73
2937,23.88
2938,17.81
2938,18.93
2938,19.04
2938,19.49
2938,19.5
2938,19.73
2938,19.75
2938,20.02
2938,20.2
2938,20.25
2938,20.27
2938,20.41
2938,20.52
2938,20.61
2938,20.66
2938,20.71
2938,20.96
2938,21.03
2938,21.05
2938,21.11
2938,21.65
2938,21.68
2938,21.78
2938,21.81
2938,22.03
2938,22.08
2938,22.28
2938,22.39
2938,22.4
2938,22.53
2938,22.58
2938,22.79
2938,23.27
2938,23.47
2938,23.72
2939,18.15
2939,19.43
2939,20.36
2939,21.16
2939,21.17
2939,22.08
2939,22.14
2939,22.17
2939,22.25
2939,22.49
2939,24.61
2940,19.32
2940,19.6
2940,19.71
2940,20.12
2940,20.59
2940,20.62
2940,20.85
2940,20.85
2940,21.17
2940,21.26
2940,21.32
2940,21.32
2940,21.33
2940,21.51
2940,21.73
2940,21.73
2940,21.79
2940,21.81
2940,22.33
2940,22.7
2940,23.01
2940,23.43
2940,23.43
2940,23.54
2940,23.92
2940,23.92
2940,25.66
2941,18.81
2941,18.95
2941,19.63
2941,19.66
2941,19.66
2941,19.68
2941,19.76
2941,20.13
2941,20.15
2941,20.26
2941,20.28
2941,20.31
2941,20.41
2941,20.44
2941,20.47
2941,20.48
2941,20.51
2941,20.52
2941,20.54
2941,20.59
2941,20.63
2941,20.69
2941,20.73
2941,20.92
2941,20.92
2941,20.97
2941,20.98
2941,21.01
2941,21.05
2941,21.08
