Sample No,Strombus fasciatus             (Born 1778) Apertures
2956,18.85
2956,21.87
2956,21.46
2956,20.86
2956,20.77
2956,23.92
2956,22.08
2956,23.89
2956,22.8
2956,20.98
2956,24.08
2956,21.62
2956,19.48
2956,21.08
2956,20.19
2956,21.62
2956,21.82
2956,21.58
2956,21.67
2956,22.55
2956,20.53
2956,20.41
2956,20.64
2956,20.24
2956,24.39
2956,21.39
2956,21
2956,22.07
2956,22.67
2956,18.39
2956,19.4
2956,22.78
2956,20.42
2956,20.48
2956,20.79
2956,21.2
2956,24.89
2956,21.22
2956,17.42
2956,23.13
2956,21.05
2956,19.98
2956,22.17
2956,20.28
2956,19.95
2956,19.11
2956,20.14
2956,22.32
2956,22.89
2956,23.14
2957,19.93
2957,22.42
2957,23.74
2957,23.59
2957,19.06
2957,21.91
2957,22.02
2957,20.68
2957,22.26
2957,22.47
2957,17.82
2957,22.97
2957,21.34
2957,19.51
2957,24.44
2957,20.11
2957,20.86
2957,21.85
2957,20.77
2957,20.15
2957,19.6
2957,22.72
2957,23.21
2957,23.02
2957,19.98
2957,18.95
2957,25.19
2957,19.47
2957,20.44
2957,19.98
2957,18.79
2957,19.45
2957,20.45
2957,21.11
2957,23.55
2957,19.57
2957,22.92
2957,23.03
2957,21.3
2957,22.71
2957,21.45
2957,23.54
2957,20.41
2957,21.62
2957,19.58
2957,21.66
2957,21.05
2957,18.63
2957,20.63
2957,20.94
2957,24.72
2957,19.68
2957,20.19
2957,24.41
2957,21.11
2957,22.46
2957,23.37
2957,21.13
2957,19.65
2957,20.17
2957,21.33
2957,20.07
2957,20.46
2957,19.68
2957,20.05
2957,23.49
2957,21.86
2957,20.1
2957,20.68
2957,21.82
2957,18.49
2957,20.91
2957,19.76
2957,23.07
2957,23.98
2957,18.87
2957,19.9
2957,19.26
2957,20.4
2957,21.99
2957,19.33
2957,23.44
2957,21.47
2957,20.98
2957,21.91
2957,20.18
2957,22.54
2957,22.14
2957,21.05
2957,20.96
2957,23.86
2957,19.86
2957,19.37
2957,19
2957,19.05
2957,20.84
2957,19.36
2958,18.29
2958,19.19
2958,21.7
2958,20.38
2958,22.5
2958,19.64
2958,18.82
2958,24.21
2958,21.78
2958,19.81
2958,20.68
2958,21.36
2958,20.57
2958,18.45
2958,22.24
2958,18.63
2958,20.17
2958,20.94
2958,21.15
2958,19.31
2958,21.9
2958,19.38
2958,20.75
2958,21.66
2958,22.48
2958,23.99
2958,20.23
2958,19.72
2958,22.58
2958,21.46
2958,24.26
2958,20.04
2958,20.42
2958,19.56
2958,18.6
2958,22.26
2958,21.1
2958,21.6
2958,21.56
2958,21.98
2958,21.23
2958,23.21
2958,19.99
2958,17.85
2958,20.59
2958,23.15
2958,21.38
2958,21.28
2958,21.21
2958,19.09
2958,21.58
2958,23.21
2958,21.84
2958,20.9
2958,18.22
2958,19.64
2958,21.96
2958,20.4
2958,23.25
2958,19.57
2958,20.71
2958,19.71
2958,21.28
2958,20.76
2958,21.57
2959,22.41
2959,20.74
2959,20.04
2959,21.54
2959,21.26
2959,22.81
2959,20.65
2959,19.56
2959,24.04
2959,20.83
2959,18.82
2959,23.03
2959,20.98
2959,20.79
2959,19.56
2959,21.08
2959,20.47
2959,21.64
2959,20.54
2959,21.14
2959,21.2
2959,21.14
2959,21.2
2959,21.21
2959,20.9
2959,22.79
2959,19.28
2959,20.57
2959,19.88
2959,20.74
2959,22.81
2959,24.23
2959,20.8
2959,17.61
2959,18.72
2959,21.53
2959,19.5
2959,20.52
2959,18.14
2959,22.69
2959,20.85
2959,20.96
2959,22.71
2959,23.25
2959,22.17
2959,20.66
2959,19.94
2959,21.19
2959,20.07
2959,24
2959,23.55
2959,20.41
2959,20.01
2960,21.28
2960,20.63
2960,20.16
2960,21.3
2960,19.18
2960,21.47
2960,22.42
2960,21.96
2960,19.81
2960,23.22
2960,19.78
2960,22.71
2960,26.02
2960,21.55
2960,21.29
2960,20.04
2960,20
2960,21.03
2960,20.25
2960,22.85
2960,22.31
2960,20.73
2960,19.4
2960,18.92
2960,19.04
2960,19.17
2960,19.49
2960,21.42
2960,20.15
2960,21.88
2960,18.62
2960,19.43
2960,24.32
2960,21.99
2960,20.64
2960,21.77
2960,19.68
2960,19.7
2960,22.62
2960,22.34
2960,21.08
2960,20.89
2960,21.26
2960,21.44
2960,20.61
2961,21.04
2961,21.33
2961,21.36
2961,21.53
2961,20.97
2961,22.23
2961,21.37
2961,24.67
2961,21.97
2961,21.38
2961,23.99
2961,20.05
2961,21.75
2961,20.29
2961,20.6
2961,23.76
2961,20.95
2961,19.93
2961,21.76
2961,20.67
2961,22.25
2961,21.4
2961,21.31
2961,21.11
2961,23.84
2961,19.72
2961,22.26
2961,22.95
2961,18.17
2961,21.34
2961,22.5
2961,21.96
2961,18.08
2961,20.77
2961,19.74
2961,19.88
2961,20.53
2961,21.88
2961,19.68
2961,19.25
2961,19.59
2961,19.96
2961,22.37
2961,18.21
2961,19.69
2961,22.37
2961,18.21
2961,19.69
2961,21.46
2961,20.11
2961,22.37
2961,22.61
2961,22.93
2961,20.3
2961,23.56
2961,21.53
2961,23.52
2961,20.12
2961,19.32
2961,17.37
2961,22.01
2961,21.04
2961,20.69
2961,21.3
2961,19.35
2961,21.17
2961,23.26
2961,20.11
2961,18.1
2961,22.64
2961,21.09
2961,18.26
2961,21.06
2961,22.82
2961,17.12
2961,20.69
2961,20.17
2961,21.43
2961,22.62
2961,18.19
2961,19.44
2961,17.95
2961,21.4
2961,19.91
2961,19.96
2961,23.44
2961,20.11
2961,21.72
2961,20.04
2961,18.72
2961,20.04
2961,18.72
2961,19.95
2961,21.47
2962,20.33
2962,19.19
2962,20.36
2962,20.92
2962,20.84
2962,18.57
2962,22.28
2962,23.38
2962,21.74
2962,18.14
2962,19.95
2962,22.15
2962,21.95
2962,21.43
2962,18.66
2962,22.05
2962,20.79
2962,21.27
2962,19.61
2962,22.65
2962,18.95
2962,20.77
2962,21.74
2962,19.03
2962,20.12
2962,19.8
2962,18.96
2962,21.55
2962,19.8
2962,19.72
2962,21.74
2962,20.98
2962,22.37
2962,18.92
2962,18.86
2962,20.20
2962,19.16
2962,19.66
2962,22.11
2962,20.72
2962,19.1
2962,19.87
2962,21.67
2962,20.06
2962,20.24
2962,20.19
2962,18.81
2962,20.47
2962,23.05
2962,19.34
2962,20.91
2962,22.17
2962,18.04
2962,18.22
2962,20.27
2962,22.16
2962,19.45
2962,21.02
2962,20.7
2962,18.39
2962,18.61
2962,20.29
2962,18.87
2962,18.27
2962,20.06
2962,20.4
2962,20.86
2962,20.35
2962,20.15
2962,20.52
2962,19.08
2962,20.41
2962,19.07
2962,20.99
2962,18.28
2962,19.69
2962,20.1
2962,20.21
2962,21.51
2962,21.32
2962,19.32
2962,20.25
2962,19.52
2962,21.41
2962,20.21
2962,21.8
2962,23.02
2962,19.14
2962,18.62
2962,20.34
2962,20.28
2962,18.94
2962,19.83
2963,23.54
2963,22.85
2963,19.91
2963,22.91
2963,21.88
2963,21.23
2963,21.93
2963,19.5
2963,20.37
2963,21.31
2963,19.83
2963,21.67
2963,23.24
2963,23
2963,21.39
2963,21.05
2963,21.31
2963,21.99
2963,17.51
2963,22.16
2963,22.86
2963,20.75
2963,21.81
2963,21.24
2963,21.07
2963,21.46
2963,21.43
2963,19.57
2963,21.53
2963,19.92
2963,19.75
2963,20.98
2963,21.4
2963,20.11
2963,19.77
2963,20.65
2963,20.72
2963,20.84
2963,20.07
2963,20.6
2963,19.42
2963,20.59
2963,20.07
2963,20.14
2963,21.07
2963,21.92
2963,21.57
2963,22.33
2964,20.12
2964,23.61
2964,21.66
2964,18.78
2964,21.31
2964,20.35
2964,18.24
2964,21.32
2964,20.29
2964,23.02
2964,21.67
2964,19.43
2964,18.78
2964,18.39
2964,17.94
2964,18.8
2964,20.75
2964,19.58
2964,19.89
2964,19.43
2964,23.26
2964,21.32
2964,22.76
2964,21.12
2964,22.15
2964,19.1
2964,20.39
2964,22.19
2964,21.1
2964,19.31
2964,20.49
2964,19.37
2964,22.31
2964,23.98
2964,21.38
2964,18.1
2964,21.81
2964,20.53
2964,20.01
2964,21.77
2964,18.4
2964,22.56
2964,19.59
2964,20.28
2964,19.97
2964,19.08
2964,21.78
2964,19.98
2964,19.48
2964,22.01
2964,18.61
2964,21.66
2964,20.65
2964,19.16
2964,19.65
2964,19.27
2964,23.62
2964,21.19
2964,21.23
2964,21.53
2964,24.26
2964,19.68
2964,21.87
2964,21.08
2965,20.51
2965,21.88
2965,20.3
2965,21.74
2965,21.07
2965,18.1
2965,19.28
2965,20.42
2965,22.66
2965,21.12
2965,21.48
2965,19.85
2965,20.54
2965,19.91
2965,22.01
2965,25.02
2965,20.84
2965,19.73
2965,22.65
2965,21.56
2965,18.91
2965,25.1
2965,22.89
2965,18.6
2965,25.91
2965,23.31
2965,21.77
2965,20.2
2965,19.23
2965,19.96
2965,22.48
2965,18.85
2965,21.08
2965,19.23
2965,21.7
2965,19.78
2965,20.18
2965,20.96
2965,21.42
2965,21.11
2965,23.35
2965,20.57
2965,21.76
2965,19.6
2965,20.46
2965,20.29
2965,21.34
2965,22.83
2965,22.76
2965,18.83
2965,22.34
2965,20.93
2965,19.83
2965,20.7
2965,18.73
2965,22.87
2965,21.92
2965,21.28
2965,24.69
2965,20.59
2965,22.89
2965,23.21
2965,20.12
2965,21.17
2965,21.92
2965,19
2965,21.27
2965,19.76
2965,20.94
2965,21.5
2965,21.5
2965,23.38
2965,20.52
2965,22.84
2965,22.2
2965,20.34
2965,18.95
2965,22.03
2965,21.54
2965,24.41
2965,22.27
2965,17.08
2965,21.31
2965,19.87
2965,19.86
2965,21.14
2965,20.01
2965,19.6
2965,20.85
2965,21.56
2966,20.22
2966,20.82
2966,22.08
2966,21.45
2966,23.94
2966,21.02
2966,19.3
2966,23.87
2966,22.05
2966,21.86
2966,21.21
2966,21.51
2966,23.57
2966,21.33
2966,24.68
2966,23.61
2966,22.36
2966,23.6
2966,22.16
