Sample No,Strombus fasciatus             (Born 1778) Aperture
2912,18.9
2912,19.2
2912,21.86
2912,20.81
2912,20.64
2912,22.28
2912,18.8
2912,20.39
2912,22.48
2912,19.22
2912,21.82
2912,18.97
2913,23.08
2913,23.39
2913,23.37
2913,22.37
2913,22.23
2913,21.82
2913,21.29
2913,21.79
2913,21
2913,20.58
2913,22.33
2913,23.34
2913,25.13
2913,20.09
2913,21
2914,19.81
2914,20.69
2914,23.89
2914,21.47
2914,22.41
2914,19.82
2914,24.9
2914,21.86
2914,22.29
2914,22.52
2914,23.29
2914,19.76
2914,21.5
2914,20.58
2914,20.95
2914,21.68
2914,20.05
2914,23.09
2914,20.84
2914,23.55
2914,22.07
2914,22.3
2914,21.99
2914,25.25
2914,22
2914,20.66
2914,22.58
2914,19.07
2914,22.06
2914,20.94
2914,21.14
2914,22.58
2914,19.92
2914,21.86
2914,22
2914,19.42
2914,21.85
2914,21.87
2915,20.63
2915,21.07
2915,21.16
2915,21.35
2915,22.58
2915,20.68
2915,24.68
2915,21.74
2915,20.09
2915,20.52
2915,21.32
2915,23.46
2915,22.71
2915,24.68
2915,21
2915,20.42
2915,19.79
2915,19.8
2915,21.76
2915,22.24
2915,19.71
2915,22.75
2915,21.98
2915,20.19
2915,21.21
2915,22.41
2915,21.88
2915,23.1
2915,20.83
2915,23.54
2915,24.32
2915,22.68
2915,22.77
2915,20.82
2915,21.11
2915,20.64
2915,20.09
2915,22.8
2915,20.37
2915,21.25
2915,22.88
2916,18.8
2916,22.48
2916,21.33
2916,21.35
2916,21.8
2916,20.78
2916,19.81
2916,23.11
2916,22.71
2916,26.74
2916,21.43
2916,21.99
2916,23.6
2916,26.28
2916,22.18
2916,20.51
2916,21.63
2916,20.98
2916,20.84
2916,24.2
2916,21.56
2916,21.5
2916,21.78
2916,22.58
2916,21.4
2916,21.28
2916,20.34
2916,21.16
2916,20.17
2916,22.39
2916,23.04
2916,22.33
2916,23.3
2916,22.19
2916,21.57
2916,20.12
2916,22.81
2916,20.49
2916,21.48
2916,22.18
2916,21.4
2916,23.83
2916,23.22
2916,22.51
2916,19.51
2916,21.54
2916,24.94
2916,19.01
2916,19.55
2916,22.71
2916,21.26
2916,22.43
2916,20.6
2916,22
2917,18.66
2917,21.75
2917,21.17
2917,23.35
2917,22.82
2917,22.47
2917,22.58
2917,24.16
2917,20.48
2917,20.68
2917,24.05
2917,22.98
2917,21.47
2917,22.91
2917,21.39
2917,22.9
2917,20.7
2917,22.61
2917,21.28
2917,19.01
2917,22.05
2917,22.61
2917,19.57
2917,19.03
2917,20.74
2917,21.22
2917,21.69
2917,19.3
2917,19.8
2917,20.29
2917,23.32
2917,20.9
2917,19.17
2917,21.18
2917,20.47
2917,21.2
2917,21.89
2917,21.06
2917,17.5
2917,21.86
2917,20.63
2917,18.99
2917,20.86
2917,22.64
2917,19.8
2917,21.01
2917,19.91
2917,23.7
2917,22.33
2917,21.67
2917,21.33
2917,19.94
2917,19.72
2917,20.09
2917,23.18
2917,23.06
2917,20.38
2917,21.98
2917,20.99
2917,21.05
2917,22.44
2917,20.96
2918,19.92
2918,21.02
2918,25.15
2918,19.59
2918,22.7
2918,20.71
2918,21.9
2918,20.75
2918,21.22
2918,24.06
2918,20.86
2918,22.99
2918,22.31
2918,20.42
2918,21.34
2918,21.24
2918,20.17
2918,21.22
2918,21.93
2918,22.26
2918,19.04
2918,19.19
2918,20.3
2918,23.42
2918,22.85
2918,22.01
2918,19.48
2918,24.58
2918,21.92
2918,19.34
2918,22.41
2918,21.32
2918,20.32
2918,23.04
2918,20.52
2918,21.05
2918,21.96
2918,21.12
2918,21.33
2918,20.08
2918,20.45
2918,20.93
2918,18.36
2918,22.37
2918,18.38
2918,20.27
2918,23.24
2918,21
2918,23.04
2918,20.95
2919,19.76
2919,21.46
2919,22.64
2919,21.28
2919,20.14
2919,22.98
2919,20.93
2919,24.54
2919,23.28
2919,19.64
2919,24.6
2919,24.53
2919,21.04
2919,20.64
2919,20.73
2919,22.66
2919,22.87
2919,20.77
2919,21.19
2919,20.5
2919,20.75
2919,22.27
2919,21.35
2919,21.15
2919,20.38
2919,21.49
2919,23.56
2919,20.27
2919,20.85
2919,22.11
2919,21.12
2919,18.99
2919,21.23
2919,18.47
2919,21.61
2919,22.04
2919,23.43
2919,24.19
2919,21.11
2920,21.52
2920,22.88
2920,19.94
2920,21.77
2920,22.24
2920,20.91
2920,23.87
2920,22.42
2920,24.83
2920,22.17
2920,21.67
2920,22.8
2920,18.97
2920,23.99
2920,25.79
2920,20.22
2920,20.81
2920,20.85
2920,22.77
2920,21.45
2920,21.94
2920,20.97
2920,20.15
2920,26.16
2920,22.8
2920,19.7
2920,24.66
2920,23.2
2920,17.62
2920,24.16
2920,23.27
2920,20.58
2920,22.58
2920,22.77
2920,21.9
2920,22.97
2920,22.29
2920,24.69
2920,21.88
2920,20.87
2920,20.14
2920,17.69
2920,19.78
2920,24.15
2920,18.2
2920,21.63
2920,20.92
2920,20.67
2920,23.58
2920,20.52
2920,20.29
2920,20.98
2920,19.27
2920,19.67
2920,22.12
2920,22.5
2920,21.78
2920,22.48
2920,21.73
2920,18.91
2920,22.41
2920,23.65
2920,19.94
2920,25.19
2920,23.53
2920,17.96
2920,23.34
2920,21.97
2920,22.45
2920,21.95
2920,22.97
2920,21.76
2920,20.67
2920,22.17
2920,21.55
2920,25.01
2920,21.45
2920,24.22
2921,23.56
2921,23.75
2921,20.54
2921,21.19
2921,20.41
2921,21.56
2921,19.21
2921,20.97
2921,20.51
2921,21.92
2921,20.97
2921,19.23
2921,21.5
2921,19.75
2921,19.98
2921,22.11
2921,22.29
2921,21.2
2921,20.73
2921,22.02
2921,18.51
2921,21.49
2921,21.93
2921,22.89
2921,22.17
2921,23.14
2921,20.37
2921,23.86
2921,23.24
2921,22.58
2921,23.62
2921,20.95
2921,21.42
2921,20.2
2921,21.13
2921,23.24
2922,21.53
2922,21.06
2922,22.88
2922,23.2
2922,20.6
2922,21.6
2922,20.81
2922,21.81
2922,23.86
2922,21.93
2922,27.06
2922,22.06
2922,22.95
2922,25.75
2922,20.37
2922,21.83
2922,22.66
2922,22.26
2922,21.23
2922,21.77
2922,21.7
2922,19.85
2922,19.95
2922,24.47
2922,21.23
2922,21.82
2922,23.02
2922,21.77
2922,21.87
2922,22.83
2922,21.92
2922,22.12
2922,22.54
2922,20.55
2922,23.75
2922,20.41
2922,23.16
2922,19.79
2922,24.16
2922,21.51
2922,20.22
2922,21.64
2922,20.97
2922,19.38
2922,22.74
2922,24.01
2922,20.31
2922,22.48
2922,20.92
2922,23.07
2922,20.37
2922,20.77
2922,25.12
2923,24.05
2923,22.91
2923,24.55
2923,22.1
2923,20.99
2923,22.54
2923,21.37
2923,19.75
2923,21.1
2923,21.89
2923,20.79
2923,25.54
2923,23.99
2923,20.6
2923,22.38
2923,23.09
2923,20.65
2923,20.31
2923,20.5
2923,23.01
2923,19.67
2923,18.35
2923,20.97
2923,21.2
2923,20.63
2923,19.68
2923,17.97
2923,22.04
2923,21.72
2923,20.18
2923,21.1
2923,20.84
2923,19.21
2923,24
2923,19.98
2923,22.27
2923,21.64
