Site Reference,Sample No,MNS,Small shells still to be identified,Cetithium Species,Chicoreus ramosus  (Linnaeus 1758),Chicoreus Species,Conus ardisiaceus       (Kiener 1845),Conus arenatus aequipunctatus             (Hwass 1792),Conus erythraeensis       (Reeve 1843) ,Conus textile (Linnaeus 1758),Conus Species,Cyprea clandestina (Linnaeus 1767),Cyprea turdus          (Lamarck 1810),Cypraea Species,Engina mendicaria (Linnaeus 1758),Gyrineum (Gyrineum) notator (Röding 1798),Morula aspera (Lamarck 1816),Murex Species,Nassarius (Nassarius) arcularia plicatus (Röding 1798),Nerita longii                              (Réduz 1841),Nerita Species,Ocinebrina Species,Pleuroploca trapezium (Linnaeus 1758),Strombus fasciatus             (Born 1778),Strombus (tricornis) tricornis (Lightfoot 1786),Strombus (tricornis) oldi (Emerson 1965),Strombus Species,Submarginula subrugosa (Thiele 1916),Trochus dentatus (Forskål 1775) Knobbed Topshell/Red Sea Topshell,Trochus erithreus (Brocchi 1823,Trochus Species,Volema paradisiaca nodosa (Lamarck 1822),Unidentified Gastropod 1,Unidentified Gastropod 2,Unidentified Gastropod 3,Unidentified Gastropod 4,Unidentified Gastropod Fragments,Anadara antiquata (Linnaeus 1758),Arca Species to be revisited when speciemen Species available,Beguina gubernaculum                                    (Reeve 1843)                                                 Rudder Cardita,Brachidontes variabilis                                 (Krauss 1848),Cardites bicolor (Lamarck 1819),Chama reflexa (Reeve 1846)     Jewel Box,Chlamys Species Scallop,Modiolus auriculatus    (Krauss 1848),Modiolus Species,Ostrea Species,Pinctada Species,Pitar Species,Plicatula plicata (Linnaeus 1758) Kittens Paw,Spondylus marisrubri (Röding 1796) Spiny Oyster/Thorny Oyster,Spondylus Species,Tapes deshayesi (Sowerby 1852),Trapezium sublaevigatum (Lamarck 1819),Tridacna maxima (Röding 1798),Unidentified Bivalve 1,Unidentified Bivalve 2,Unidentified Bivalve 3,Unidentified Bivalve Fragments,Limpet sp,Burnt Shell,Heated Shell? (not charred),Unidentified shell fragments,Barnacle,Bone?,Breccia/Stone,Charcoal,Coral,Crab,Fish Bone/Teeth,Fossil Shell?,Insect Modern?,Mammal Bone,Sea Urchin,Seed,Unidentified Stuff,Calcite,Worm,Unsorted Residue,Rough Sorted Residue,Total Sample Weight,Shell Only Weight
JW0001,1074,13,26.5,,,51,,,,,7,,,,,,,,,,,,,1023,195,,,,12.5,,,34,,,,,28.5,75.5,56.5,12.5,,,2.5,,,,14,4.5,,,,,,17,,,,,,,8,,,,0.3,559.5,,1,0.3,0.3,,,,,,,,0.3,1097.5,305.5,3532.5,1568.5
JW0002,1077,18,2,,825.5,,,,,,1.5,,,,,,,,,,,,102,875,193,,,,,,,63.5,,,,,81,14.5,73,14,0.3,,82.5,,,,3.5,17.5,,,,,2.5,,,27,2.5,3.5,9,0.5,2.5,,,,,23.5,,,,0.3,,0.3,,,,,4.5,0.3,546,108,3079,2397
JW0003,1080,16,42.5,,319,,,,,,,,,,,,,,,,26,,,344,226,14,,,3,,,,,,,,58.5,,5.5,7.5,,,347.5,,,,5,25.5,,44.5,,,,15,,22.5,7,23,,,,,,,,304,,7.5,0.3,,,,,,,0.3,7.5,1,2800,313,4969,1536
JW0004,1083,13,0.5,,,15.5,,,,,16.5,,,,,,,,,,,,,1809,9,,,,5.5,,,18.5,,,,,,,10.5,2.5,,,29,,,,6,9.5,,,,,,,,33.5,12,,2,,80,,,0.5,0.3,,0.5,0.5,,0.5,,,,,,,8,,1028.5,476,3574,2059.5
JW0005,1087,17,2,,,1.5,,23,,,6,,,,,,,,3,,5,,,917.5,22,,,,0.5,,,11,18,24.5,,,45,,2.5,,,,90.5,,2.5,,1,4.5,,,,,,,,2.5,1,,7.5,,34.5,,,,3.5,336,,1.5,,,,,,,,2,2.5,2.5,2527.5,425.5,4526.5,1225.5
JW0006,1090,12,0.5,,,4,7.5,1.5,,,2.5,,,,,,,,2,,0.5,,,1672.5,17.5,,,,,,,,,,,,35,,2,7.5,,,31,,,,6.5,26.5,,,,,,,,,,,2.5,,25.5,31.5,,2,,19,,2,,0.3,,,,,,,5,0.5,1165,410.5,3480.5,1876.5
JW0007,1093,13,1,,,3.5,,0.5,,,,,2,,,,,,,2,,,,2141,3,,,,,,,7.5,1,2.5,,,13,,,,,,1.5,,,,0.5,2.5,,,,,,,,1.5,,,,,16,15.5,,,,6,,2,,0.5,,,,0.3,0.3,,3,2.5,643.5,253,3125,2214.5
JW0008,1098,17,1,,35.5,,,26,,,5.5,,,,,,,,,0.5,,,,1394,20.5,,,,,,,22,28,19.5,,,60,,90.5,44,,,22.5,,30.5,,2.5,53,,8,,,,,,2,11,,,,8.5,2.5,,,,12.5,,1.5,,1.5,,,,,,,19.5,1,435,129,2487.5,1887.5
JW0009,1102,17,0.5,,,13,,4,,,2.5,,,,,,,,,,,0.5,,1267.5,6,,,,3,,,14,2,32.5,,,2,,11,30,,,53,,8.5,,9.5,52.5,,,,,,,,2,4.5,,,,5.5,13.5,,,,3.5,,3,,0.5,,,,,,0.3,4,4,611,180.5,2344,1537.5
JW0010,1106,9,0.5,,,3.5,,,,,,,,,,,,,,,5,,,1560.5,,,6.5,,,,,15.5,,,,,37,,,,,,28.5,,,1,3.5,4.5,,,,,,,,,,,1,,24,3,,,0.3,2,,,,0.5,,,,,0.3,,8.5,0.5,661.5,228.5,2595.5,1694
