Sample No,Strombus fasciatus             (Born 1778) Aperture
537,22.38
537,27.75
537,27.61
537,24.40
537,24.23
537,24.04
537,23.91
537,23.76
537,23.74
537,23.70
537,23.53
537,23.39
537,23.31
537,23.28
537,23.17
537,23.09
537,23.07
537,22.97
537,22.62
537,22.60
537,22.60
537,22.57
537,22.43
537,22.29
537,21.99
537,21.99
537,21.93
537,21.92
537,21.82
537,21.81
537,21.80
537,21.61
537,21.48
537,21.46
537,21.41
537,21.35
537,20.29
537,20.25
537,19.97
537,18.76
541,21.95
541,26.89
541,26.58
541,26.53
541,25.64
541,25.58
541,25.48
541,25.21
541,25.20
541,25.13
541,25.10
541,24.70
541,24.41
541,24.38
541,24.37
541,24.30
541,24.14
541,24.05
541,23.98
541,23.87
541,23.72
541,23.61
541,23.32
541,23.31
541,23.21
541,23.13
541,23.12
541,23.07
541,23.02
541,22.99
541,22.94
541,22.93
541,22.92
541,22.91
541,22.71
541,22.61
541,22.55
541,22.53
541,22.33
541,22.26
541,22.25
541,22.14
541,22.14
541,22.14
541,22.06
541,22.01
541,21.97
541,21.89
541,21.88
541,21.83
541,21.73
541,21.71
541,21.68
541,21.66
541,21.61
541,21.45
541,21.43
541,21.33
541,21.26
541,21.20
541,21.02
541,21.00
541,20.87
541,20.83
541,20.64
541,20.38
541,20.27
541,19.31
541,18.95
541,18.17
,
,
