Sample No,Strombus fasciatus             (Born 1778) Aperture
923,25.73
923,21.33
923,23.55
923,24.75
923,19.99
923,23.05
923,23.74
923,23.48
923,23.63
923,20.3
923,26.19
923,23.41
923,24.05
923,24.42
923,23.22
923,23.53
923,22.5
923,23.26
923,24.84
923,25.18
923,20.37
923,23.27
923,21.52
923,22.82
923,23.27
923,23.49
923,22.54
923,23.09
923,21.28
923,25.03
923,24.44
923,22.36
923,19.85
923,23.12
923,22.01
923,21.54
923,20.76
923,23.7
923,23.12
923,22.63
923,23.09
923,21.2
923,23.19
923,24.89
923,22.28
923,19.5
923,20.93
923,23.55
923,22.42
923,23.74
923,22.6
923,23.66
923,24.37
923,24.13
923,21.35
923,22.01
923,22.18
923,24.08
923,21.86
923,23.71
923,22.95
923,22.2
923,20.65
923,20.89
