Sample No,Strombus fasciatus             (Born 1778) Aperture
2502,13.72
2503,13.86
2519,14.17
2505,14.91
2507,15.46
2512,15.5
2507,15.6
2501,15.84
2512,16
2518,16
2516,16.03
2503,16.08
2505,16.08
2509,16.2
2518,16.2
2501,16.33
2502,16.4
2518,16.4
2502,16.43
2502,16.49
2509,16.5
2514,16.5
2517,16.5
2509,16.6
2502,16.68
2516,16.68
2516,16.68
2501,16.69
2503,16.69
2502,16.71
2508,16.8
2509,16.8
2518,16.8
2501,16.84
2515,16.85
2507,16.86
2512,16.9
2519,16.92
2505,16.97
2507,16.97
2519,16.98
2519,16.99
2518,17
2519,17.06
2502,17.07
2503,17.09
2505,17.09
2509,17.1
2518,17.1
2518,17.1
2519,17.1
2502,17.13
2516,17.19
2504,17.2
2508,17.2
2518,17.2
2518,17.2
2501,17.21
2515,17.22
2516,17.22
2501,17.23
2501,17.24
2502,17.28
2515,17.28
2507,17.29
2507,17.29
2508,17.3
2512,17.3
2514,17.3
2518,17.3
2518,17.3
2518,17.3
2518,17.3
2505,17.36
2502,17.38
2505,17.38
2502,17.39
2503,17.39
2504,17.4
2508,17.4
2508,17.4
2509,17.4
2518,17.4
2507,17.42
2507,17.42
2519,17.43
2503,17.46
2507,17.48
2519,17.49
2504,17.5
2509,17.5
2509,17.5
2517,17.5
2518,17.5
2518,17.5
2518,17.5
2518,17.5
2503,17.52
2516,17.52
2519,17.52
2503,17.53
2502,17.57
2503,17.6
2506,17.6
2509,17.6
2514,17.6
2517,17.6
2518,17.6
2518,17.6
2518,17.6
2501,17.64
2505,17.65
2503,17.66
2503,17.67
2516,17.68
2501,17.69
2516,17.69
2509,17.7
2515,17.7
2518,17.7
2503,17.73
2505,17.73
2511,17.73
2502,17.74
2501,17.75
2516,17.76
2502,17.77
2519,17.78
2502,17.79
2503,17.79
2516,17.79
2501,17.8
2503,17.8
2509,17.8
2509,17.8
2509,17.8
2514,17.8
2518,17.8
2518,17.8
2518,17.8
2518,17.8
2519,17.8
2501,17.81
2502,17.82
2502,17.83
2516,17.83
2519,17.83
2501,17.84
2501,17.88
2502,17.88
2501,17.89
2503,17.89
2506,17.9
2508,17.9
2509,17.9
2509,17.9
2512,17.9
2514,17.9
2517,17.9
2517,17.9
2517,17.9
2518,17.9
2518,17.9
2518,17.9
2518,17.9
2502,17.91
2519,17.91
2501,17.92
2519,17.92
2503,17.94
2519,17.94
2519,17.94
2501,17.96
2505,17.96
2505,17.96
2511,17.96
2503,17.97
2516,17.97
2501,17.99
2507,17.99
2519,17.99
2500,18
2502,18
2503,18
2504,18
2508,18
2509,18
2518,18
2518,18
2518,18
2518,18
2501,18.01
2503,18.01
2501,18.02
2503,18.02
2503,18.02
2501,18.03
2502,18.03
2502,18.04
2501,18.05
2502,18.05
2515,18.05
2502,18.06
2501,18.07
2505,18.07
2515,18.09
2519,18.09
2502,18.1
2502,18.1
2503,18.1
2504,18.1
2509,18.1
2516,18.1
2516,18.1
2517,18.1
2518,18.1
2519,18.1
2519,18.1
2520,18.1
2505,18.11
2507,18.12
2503,18.13
2503,18.13
2519,18.13
2505,18.14
2507,18.14
2516,18.15
2519,18.15
2503,18.16
2516,18.16
2503,18.17
2503,18.17
2502,18.19
2501,18.2
2506,18.2
2508,18.2
2509,18.2
2511,18.2
2516,18.2
2516,18.2
2516,18.2
2516,18.2
2517,18.2
2517,18.2
2518,18.2
2518,18.2
2518,18.2
2518,18.2
2518,18.2
2518,18.2
2518,18.2
2518,18.2
2522,18.2
2526,18.2
2502,18.23
2503,18.23
2507,18.23
2501,18.26
2507,18.26
2519,18.26
2503,18.27
2505,18.29
2501,18.3
2503,18.3
2509,18.3
2509,18.3
2509,18.3
2511,18.3
2512,18.3
2513,18.3
2514,18.3
2517,18.3
2518,18.3
2518,18.3
2518,18.3
2518,18.3
2518,18.3
2502,18.31
2503,18.31
2507,18.31
2519,18.31
2507,18.32
2501,18.33
2502,18.33
2503,18.33
2502,18.34
2505,18.34
2519,18.34
2503,18.35
2505,18.35
2516,18.35
2503,18.36
2503,18.36
2507,18.36
2511,18.36
2515,18.36
2515,18.36
2505,18.37
2503,18.38
2507,18.39
2502,18.4
2504,18.4
2504,18.4
2508,18.4
2508,18.4
2508,18.4
2509,18.4
2513,18.4
2514,18.4
2516,18.4
2517,18.4
2517,18.4
2517,18.4
2517,18.4
2519,18.4
2521,18.4
2507,18.41
2519,18.41
2501,18.42
2507,18.43
2505,18.44
2507,18.44
2516,18.44
2503,18.45
2515,18.45
2507,18.46
2507,18.46
2515,18.46
2502,18.47
2503,18.47
2503,18.47
2515,18.49
2502,18.5
2504,18.5
2508,18.5
2508,18.5
2508,18.5
2508,18.5
2508,18.5
2509,18.5
2509,18.5
2509,18.5
2515,18.5
2517,18.5
2517,18.5
2518,18.5
2518,18.5
2518,18.5
2518,18.5
2519,18.51
2502,18.52
2503,18.52
2502,18.54
2516,18.54
2501,18.56
2502,18.56
2507,18.56
2515,18.56
2502,18.57
2505,18.57
2516,18.57
2516,18.57
2519,18.57
2501,18.58
2502,18.58
2519,18.58
2501,18.59
2501,18.59
2502,18.59
2502,18.59
2507,18.59
2511,18.59
2502,18.6
2503,18.6
2503,18.6
2507,18.6
2509,18.6
2509,18.6
2512,18.6
2517,18.6
2517,18.6
2517,18.6
2518,18.6
2507,18.61
2511,18.61
2519,18.62
2501,18.63
2501,18.63
2502,18.63
2503,18.63
2505,18.63
2507,18.63
2502,18.64
2503,18.64
2516,18.64
2516,18.64
2501,18.65
2503,18.65
2503,18.65
2501,18.66
2501,18.66
2503,18.66
2505,18.66
2505,18.66
2516,18.66
2519,18.66
2502,18.67
2502,18.67
2502,18.67
2503,18.68
2503,18.68
2515,18.69
2519,18.69
2502,18.7
2502,18.7
2502,18.7
2507,18.7
2508,18.7
2509,18.7
2512,18.7
2513,18.7
2514,18.7
2518,18.7
2518,18.7
2518,18.7
2518,18.7
2518,18.7
2520,18.7
2519,18.71
2503,18.72
2515,18.72
2515,18.73
2501,18.74
2502,18.74
2507,18.74
2516,18.74
2516,18.74
2516,18.74
2519,18.74
2503,18.76
2516,18.76
2501,18.77
2502,18.77
2502,18.77
2503,18.77
2516,18.77
2516,18.77
2501,18.78
2502,18.78
2502,18.78
2503,18.78
2516,18.78
2519,18.78
2503,18.8
2507,18.8
2509,18.8
2512,18.8
2513,18.8
2515,18.8
2517,18.8
2517,18.8
2517,18.8
2518,18.8
2518,18.8
2518,18.8
2518,18.8
2518,18.8
2519,18.8
2502,18.81
2516,18.81
2519,18.81
2519,18.81
2519,18.81
2507,18.82
2507,18.82
2502,18.83
2503,18.83
2505,18.83
2516,18.83
2519,18.83
2501,18.84
2501,18.84
2502,18.84
2503,18.84
2501,18.85
2502,18.85
2516,18.86
2519,18.87
2502,18.88
2503,18.88
2507,18.88
2507,18.88
2516,18.88
2502,18.89
2503,18.89
2515,18.89
2503,18.9
2505,18.9
2508,18.9
2508,18.9
2508,18.9
2508,18.9
2509,18.9
2509,18.9
2510,18.9
2512,18.9
2512,18.9
2513,18.9
2514,18.9
2515,18.9
2516,18.9
2518,18.9
2518,18.9
2518,18.9
2518,18.9
2518,18.9
2518,18.9
2518,18.9
2502,18.91
2507,18.91
2501,18.92
2515,18.92
2516,18.92
2501,18.93
2502,18.93
2503,18.93
2507,18.93
2515,18.93
2507,18.94
2507,18.94
2503,18.95
2507,18.95
2502,18.96
2516,18.96
2502,18.97
2519,18.97
2502,18.98
2502,18.98
2502,18.98
2502,18.98
2516,18.98
2502,18.99
2519,18.99
2500,19
2503,19
2503,19
2507,19
2508,19
2508,19
2508,19
2509,19
2509,19
2509,19
2512,19
2517,19
2517,19
2517,19
2518,19
2518,19
2518,19
2518,19
2519,19
2520,19
2521,19
2502,19.01
2507,19.01
2519,19.01
2519,19.01
2501,19.02
2511,19.02
2516,19.02
2502,19.03
2502,19.03
2503,19.04
2516,19.04
2502,19.05
2503,19.06
2516,19.07
2505,19.08
2507,19.08
2503,19.09
2507,19.09
2519,19.09
2503,19.1
2504,19.1
2506,19.1
2507,19.1
2508,19.1
2508,19.1
2508,19.1
2508,19.1
2508,19.1
2508,19.1
2509,19.1
2509,19.1
2516,19.1
2516,19.1
2517,19.1
2517,19.1
2517,19.1
2517,19.1
2518,19.1
2518,19.1
2518,19.1
2502,19.11
2516,19.11
2502,19.12
2502,19.12
2515,19.12
2516,19.12
2502,19.13
2502,19.13
2519,19.13
2505,19.14
2502,19.15
2503,19.15
2507,19.15
2516,19.15
2516,19.15
2519,19.15
2501,19.16
2503,19.16
2507,19.16
2507,19.16
2519,19.16
2502,19.17
2502,19.17
2507,19.17
2511,19.17
2501,19.18
2501,19.18
2502,19.18
2503,19.18
2507,19.18
2507,19.18
2502,19.19
2503,19.19
2515,19.19
2519,19.19
2519,19.19
2503,19.2
2506,19.2
2508,19.2
2508,19.2
2509,19.2
2509,19.2
2509,19.2
2509,19.2
2513,19.2
2514,19.2
2515,19.2
2516,19.2
2517,19.2
2518,19.2
2518,19.2
2518,19.2
2518,19.2
2518,19.2
2518,19.2
2518,19.2
2518,19.2
2518,19.2
2520,19.2
2503,19.21
2507,19.21
2515,19.21
2515,19.21
2519,19.21
2502,19.22
2515,19.22
2502,19.23
2515,19.23
2503,19.24
2516,19.24
2519,19.24
2519,19.24
2503,19.25
2507,19.25
2511,19.25
2519,19.25
2502,19.26
2507,19.26
2516,19.26
2519,19.26
2519,19.26
2519,19.26
2507,19.27
2511,19.27
2502,19.28
2505,19.28
2507,19.28
2519,19.28
2519,19.28
2507,19.29
2515,19.29
2501,19.3
2508,19.3
2508,19.3
2508,19.3
2508,19.3
2509,19.3
2509,19.3
2509,19.3
2509,19.3
2515,19.3
2517,19.3
2517,19.3
2518,19.3
2518,19.3
2518,19.3
2518,19.3
2518,19.3
2519,19.3
2503,19.31
2515,19.31
2501,19.32
2502,19.32
2503,19.32
2503,19.32
2507,19.32
2507,19.32
2516,19.32
2503,19.34
2507,19.34
2502,19.35
2507,19.35
2511,19.35
2505,19.36
2507,19.36
2501,19.37
2502,19.37
2507,19.37
2515,19.38
2519,19.38
2502,19.4
2502,19.4
2508,19.4
2508,19.4
2508,19.4
2509,19.4
2509,19.4
2513,19.4
2514,19.4
2516,19.4
2517,19.4
2517,19.4
2517,19.4
2517,19.4
2518,19.4
2518,19.4
2518,19.4
2520,19.4
2521,19.4
2501,19.44
2503,19.44
2511,19.44
2501,19.45
2502,19.45
2503,19.45
2507,19.45
2507,19.45
2507,19.45
2516,19.45
2519,19.46
2502,19.47
2502,19.47
2516,19.47
2507,19.48
2516,19.48
2503,19.49
2505,19.49
2501,19.5
2501,19.5
2502,19.5
2509,19.5
2517,19.5
2517,19.5
2517,19.5
2518,19.5
2518,19.5
2518,19.5
2518,19.5
2518,19.5
2521,19.5
2507,19.51
2516,19.52
2516,19.52
2502,19.53
2502,19.54
2503,19.54
2507,19.54
2515,19.54
2503,19.55
2503,19.55
2505,19.55
2507,19.55
2516,19.55
2502,19.56
2519,19.56
2503,19.58
2507,19.58
2508,19.6
2508,19.6
2509,19.6
2513,19.6
2517,19.6
2517,19.6
2518,19.6
2518,19.6
2518,19.6
2518,19.6
2518,19.6
2519,19.6
2519,19.61
2501,19.62
2516,19.62
2519,19.62
2516,19.63
2519,19.63
2502,19.64
2503,19.64
2507,19.64
2519,19.64
2502,19.65
2502,19.67
2515,19.67
2516,19.67
2503,19.68
2511,19.68
2515,19.69
2519,19.69
2508,19.7
2508,19.7
2509,19.7
2509,19.7
2509,19.7
2509,19.7
2512,19.7
2512,19.7
2516,19.7
2517,19.7
2517,19.7
2517,19.7
2517,19.7
2518,19.7
2518,19.7
2518,19.7
2518,19.7
2518,19.7
2520,19.7
2501,19.71
2503,19.71
2505,19.71
2507,19.71
2519,19.71
2507,19.73
2516,19.73
2507,19.74
2507,19.74
2519,19.74
2503,19.75
2511,19.75
2516,19.75
2503,19.76
2503,19.77
2519,19.77
2507,19.78
2519,19.78
2519,19.78
2507,19.79
2519,19.79
2501,19.8
2504,19.8
2508,19.8
2509,19.8
2510,19.8
2512,19.8
2513,19.8
2517,19.8
2517,19.8
2517,19.8
2517,19.8
2518,19.8
2518,19.8
2518,19.8
2518,19.8
2520,19.8
2520,19.8
2501,19.81
2501,19.81
2515,19.81
2516,19.81
2519,19.81
2519,19.81
2519,19.83
2501,19.84
2502,19.84
2516,19.84
2505,19.85
2505,19.85
2516,19.85
2519,19.85
2503,19.86
2505,19.86
2507,19.86
2502,19.87
2502,19.87
2503,19.87
2505,19.87
2502,19.88
2516,19.88
2519,19.88
2501,19.89
2502,19.89
2503,19.89
2519,19.89
2504,19.9
2508,19.9
2512,19.9
2514,19.9
2517,19.9
2517,19.9
2518,19.9
2501,19.91
2501,19.91
2511,19.91
2515,19.91
2503,19.92
2511,19.92
2519,19.92
2502,19.93
2505,19.93
2503,19.94
2515,19.94
2501,19.95
2501,19.95
2503,19.95
2515,19.95
2507,19.96
2511,19.96
2519,19.96
2507,19.97
2511,19.97
2516,19.97
2516,19.97
2519,19.97
2501,19.98
2507,19.98
2515,19.98
2519,19.98
2519,19.98
2516,19.99
2503,20
2506,20
2507,20
2507,20
2508,20
2508,20
2508,20
2509,20
2510,20
2510,20
2512,20
2513,20
2513,20
2515,20
2517,20
2517,20
2517,20
2518,20
2518,20
2518,20
2518,20
2518,20
2518,20
2518,20
2518,20
2519,20
2519,20
2519,20
2522,20
2525,20
2502,20.01
2507,20.01
2505,20.02
2507,20.02
2516,20.02
2502,20.03
2503,20.03
2505,20.03
2505,20.04
2503,20.05
2505,20.05
2519,20.05
2503,20.06
2516,20.06
2511,20.07
2511,20.07
2507,20.08
2515,20.08
2515,20.08
2516,20.08
2519,20.08
2502,20.09
2503,20.09
2507,20.1
2507,20.1
2508,20.1
2508,20.1
2509,20.1
2510,20.1
2513,20.1
2515,20.1
2516,20.1
2517,20.1
2518,20.1
2518,20.1
2518,20.1
2518,20.1
2518,20.1
2518,20.1
2518,20.1
2520,20.1
2515,20.11
2516,20.11
2519,20.11
2503,20.12
2502,20.13
2505,20.14
2516,20.14
2519,20.14
2501,20.15
2502,20.15
2503,20.15
2507,20.15
2503,20.16
2505,20.16
2511,20.16
2502,20.17
2511,20.17
2503,20.18
2507,20.18
2516,20.18
2503,20.19
2511,20.19
2519,20.19
2505,20.2
2506,20.2
2507,20.2
2508,20.2
2508,20.2
2508,20.2
2509,20.2
2513,20.2
2513,20.2
2517,20.2
2517,20.2
2517,20.2
2518,20.2
2518,20.2
2518,20.2
2518,20.2
2518,20.2
2519,20.2
2501,20.21
2515,20.21
2519,20.21
2503,20.22
2507,20.22
2507,20.24
2502,20.25
2507,20.25
2503,20.26
2519,20.26
2515,20.27
2505,20.28
2505,20.28
2507,20.28
2507,20.28
2516,20.28
2519,20.28
2505,20.29
2519,20.29
2504,20.3
2506,20.3
2506,20.3
2506,20.3
2508,20.3
2508,20.3
2508,20.3
2509,20.3
2509,20.3
2509,20.3
2512,20.3
2512,20.3
2512,20.3
2518,20.3
2518,20.3
2518,20.3
2518,20.3
2518,20.3
2520,20.3
2507,20.32
2516,20.32
2511,20.33
2507,20.34
2515,20.34
2501,20.35
2503,20.35
2516,20.35
2519,20.35
2519,20.35
2501,20.36
2502,20.36
2507,20.36
2507,20.36
2519,20.36
2519,20.36
2519,20.36
2519,20.36
2502,20.37
2503,20.37
2507,20.37
2505,20.38
2507,20.38
2511,20.38
2519,20.38
2503,20.39
2503,20.39
2516,20.39
2502,20.4
2508,20.4
2508,20.4
2508,20.4
2508,20.4
2508,20.4
2508,20.4
2509,20.4
2510,20.4
2510,20.4
2512,20.4
2512,20.4
2512,20.4
2517,20.4
2518,20.4
2518,20.4
2518,20.4
2518,20.4
2518,20.4
2503,20.41
2507,20.41
2516,20.42
2501,20.43
2511,20.43
2501,20.45
2502,20.45
2505,20.47
2516,20.47
2502,20.49
2505,20.49
2511,20.49
2516,20.49
2506,20.5
2506,20.5
2506,20.5
2507,20.5
2507,20.5
2508,20.5
2509,20.5
2510,20.5
2514,20.5
2517,20.5
2517,20.5
2517,20.5
2517,20.5
2517,20.5
2517,20.5
2517,20.5
2518,20.5
2518,20.5
2518,20.5
2518,20.5
2518,20.5
2520,20.5
2526,20.5
2516,20.51
2519,20.52
2501,20.53
2501,20.53
2519,20.53
2519,20.54
2519,20.55
2502,20.56
2503,20.56
2503,20.57
2511,20.57
2515,20.57
2516,20.57
2503,20.58
2516,20.58
2502,20.59
2502,20.6
2506,20.6
2508,20.6
2508,20.6
2508,20.6
2509,20.6
2509,20.6
2509,20.6
2510,20.6
2513,20.6
2513,20.6
2516,20.6
2517,20.6
2517,20.6
2518,20.6
2518,20.6
2518,20.6
2516,20.61
2505,20.62
2511,20.62
2507,20.63
2515,20.64
2516,20.64
2516,20.65
2505,20.66
2505,20.66
2507,20.66
2502,20.68
