Sample No,Year Ref,Collection Date,Squre,Layer,Spit,Position,Notes,Possibly anthropogenically worked stuff ,Possibly anthropogenically worked stuff Description,Minimum Number of Species (MNS),,Chicoreus ramosus     (Linnaeus 1758) MNI,Chicoreus ramosus     (Linnaeus 1758),Chicoreus ramosus     (Linnaeus 1758) Height,Chicoreus Species MNI,Chicoreus Species,Pleuroploca Species MNI,Pleuroploca Species,Strombus fasciatus             (Born 1778) MNI,Strombus fasciatus             (Born 1778),Strombus fasciatus             (Born 1778) Aperture,Atactodea Species Lower MNI,Atactodea Species Upper MNI,Atactodea Species,Atactodea Species Lower Hinge,Atactodea Species Upper Hinge,Chama reflexa (Reeve 1846) Upper MNI,Chama reflexa (Reeve 1846) Lower MNI,Chama reflexa (Reeve 1846),Chama reflexa (Reeve 1846) Upper Hinge,Chama reflexa (Reeve 1846) Upper Width,Chama Species Upper MNI,Chama Species Lower MNI,Chama Species,Pinctada Species Left MNI,Pinctada Species Right MNI,Pinctada Species,Pinctada Species Left Hinge,Pinctada Species Right Hinge,Plicatula plicata (Linnaeus 1767) Lower MNI,Plicatula plicata (Linnaeus 1767) Upper MNI,Plicatula plicata (Linnaeus 1767),Plicatula plicata (Linnaeus 1767) Lower Length,Plicatula plicata (Linnaeus 1767) Lower Width,Plicatula plicata (Linnaeus 1767) Upper Length,Plicatula plicata (Linnaeus 1767) Upper Width,Spondylus marisrubri                      (Röding 1798)                                 Spiny or Thorny Oyster Lower MNI,Spondylus marisrubri                      (Röding 1798)                                 Spiny or Thorny Oyster Upper MNI,Spondylus marisrubri                      (Röding 1798)                                 Spiny or Thorny Oyster,Spondylus marisrubri                      (Röding 1798)                                 Spiny or Thorny Oyster Lower Hinge,Spondylus marisrubri                      (Röding 1798)                                 Spiny or Thorny Oyster Upper Hinge,Unidentified Species,Stone/ Breccia,Coral,Total York Weight,Saudi 1mm Weight,Total Sample Weight,Sample Number
2500,F13,26/01/2013,,1,1,,York unsorted,,,,,,,,,7,,,18,277,21,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,10,,,196,,105,,1195,,2500
2501,F13,26/01/2013,,2,01-Mar,,York unsorted,,,,,,,,,,,,148,1245,17.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,278,,2501
2502,F13,26/01/2013,,2,02-Mar,,York unsorted,,,,,,,,,,,,352,2031,20.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,453,,2502
2503,F13,,,2,03-Mar,,York unsorted,,,,,,,,,,,,367,1474,18.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,570,,2503
2504,F13,26/01/2013,,3,01-Jan,,York unsorted,,,,,,,,,,,,198,1417,18.4,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,11,,4,,898,,2504
2505,F13,,,4A,01-Feb,,York unsorted,,,,,,,,,,,,379,1925,19.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438,,2505
2506,F13,26/01/2013,,4a,02-Feb,,York unsorted,,,,,,,,,1,,1,496,2381,17.6,,,,,,4,1,32,16.9,18.1,,,,,,,,,3,1,24,21.1,16.5,45.4,33.7,,,,,,13,,2,,516,,2506
2507,F13,,,4b,01-Mar,,York unsorted,,,,,,,,,,,,238,1507,21.23,,,,,,5,11,223,22.06,22.52,,,,,,,,,3,8,67,28.81,20.02,48.12,34.92,,1,34,,33.96,,,7,,285,,2507
2508,F13,26/01/2013,,4b,02-Mar,,York unsorted,,,,,,,,,6,,,280,1822,19.1,60,,61,,,3,5,78,19.6,18.6,,,,,,15,,,6,3,58,46.4,41.8,26.6,22,,,,,,45,,32,,577,,2508
2509,F13,26/01/2013,,4b,03-Mar,,York unsorted,,,,,,,,,17,,,260,1928,17.6,14,,13,,,,5,25,,12,,,,,1,11,,23,2,1,28,48.2,39.5,43.4,32.3,1,,71,21.7,,51,,13,,638,,2509
2510,F13,26/01/2013,,6,01-Jan,,York unsorted,,,,,,,,,,,,60,569,21.2,,,,,,,,,,,,,3,,,1,,,1,1,16,,,,,,,2,,,20,,,,199,,2510
2511,F13,26/01/2013,,7,01-Mar,,wait for bag,,,,,5,195,99.09,,,,,101,648,20.07,,,,,,1,8,164,,13.57,,,,1,,7,,24.34,5,8,62,33.01,24.9,44.05,32.92,,,20,,,,5,3,,549,,2511
