Sample No,Year Ref,Collection Date,Squre,Layer,Spit,Position,Notes,Possibly anthropogenically worked stuff ,Possibly anthropogenically worked stuff Description,Minimum Number of Species (MNS),Chicoreus ramosus     (Linnaeus 1758) MNI,Chicoreus ramosus     (Linnaeus 1758),Chicoreus ramosus     (Linnaeus 1758) Height,Chicoreus Species MNI,Chicoreus Species,Strombus fasciatus             (Born 1778) MNI,Strombus fasciatus             (Born 1778),Strombus fasciatus             (Born 1778) Aperture,Chama reflexa (Reeve 1846) Upper MNI,Chama reflexa (Reeve 1846) Lower MNI,Chama reflexa (Reeve 1846),Chama reflexa (Reeve 1846) Upper Hinge,Chama reflexa (Reeve 1846) Upper Width,Pinctada Species Left MNI,Pinctada Species Right MNI,Pinctada Species,Pinctada Species Left Hinge,Pinctada Species Right Hinge,Plicatula plicata (Linnaeus 1767) Lower MNI,Plicatula plicata (Linnaeus 1767) Upper MNI,Plicatula plicata (Linnaeus 1767),Plicatula plicata (Linnaeus 1767) Lower Length,Plicatula plicata (Linnaeus 1767) Lower Width,Plicatula plicata (Linnaeus 1767) Upper Length,Plicatula plicata (Linnaeus 1767) Upper Width,Spondylus marisrubri                      (Röding 1798)                                 Spiny or Thorny Oyster Lower MNI,Spondylus marisrubri                      (Röding 1798)                                 Spiny or Thorny Oyster Upper MNI,Spondylus marisrubri                      (Röding 1798)                                 Spiny or Thorny Oyster,Spondylus marisrubri                      (Röding 1798)                                 Spiny or Thorny Oyster Lower Hinge,Spondylus marisrubri                      (Röding 1798)                                 Spiny or Thorny Oyster Upper Hinge,Unidentified Species,Stone/ Breccia,Coral,Unsorted Residue,Saudi 1mm Weight,Sample Number
2537,F13,28/01/2013,,1,2/4,west facing section,York Unsorted,,,,,2.0,,,,400,2422.0,20.40,,,,,,,,3.0,,,,,,,,,,,,,,,,19.0,,1250.0,1250.0,2537
2538,F13,28/01/2013,,1,3/4,west facing section,York unsorted,,,,,4.0,,,,375,2543.0,20.80,,,,,,,,,,,,,,,,,,,,,,,,12.0,,784.0,784.0,2538
2539,F13,29/01/2013,,1,4/4,west facing section,York unsorted,,,,,,,,,119,959.0,20.90,,,,,,,,,,,,,,,,,,,,,,,7.0,,1.0,298.0,298.0,2539
2540,F13,29/01/2013,,2,1/1,west facing section,York unsorted,,,,,,,,,232,1583.0,21.80,,,,,,,,,,,,,,,,,,,,,,,22.0,,,728.0,728.0,2540
2541,F13,02/02/2013,,3,1/3,west facing section,York unsorted,,,,,,,,,248,1640.0,14.90,,,,,,,,,,,,,,,,,,,,,,,,,,,?,2541
2543,F13,29/01/2013,,3,2/3,west facing section,York unsorted,,,,,1.0,,,,122,795.0,22.00,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,?,2543
2542,F13,29/01/2013,,3,3/3,west facing section,red lens - fish bone,,,,,,,,,58,568.0,20.40,,,,,,,,,,,,,,,,,,,,,,,32.0,,,167.0,167.0,2542
2544,F13,02/02/2013,,4,1/1,west facing section,York unsorted,,,,,2.0,,,,241,1464.0,19.30,,,,,,,,1.0,,,,,,,,,,,,,,,,10.0,,740.0,740.0,2544
2545,F13,29/01/2013,,5,1/5,west facing section,York unsorted,,,,,,,,,191,2316.0,18.30,,,,,,,,,,,,,,,,,,,,,,,25.0,6.0,,434.0,434.0,2545
2546,F13,29/01/2013,,5,2/5,west facing section,York unsorted,,,,,,,,,191,1434.0,21.70,,,,,,,,,,,,,,,,,,,,,,,,1.0,,150.0,150.0,2546
2547,F13,29/01/2013,,5,3/5,west facing section,York unsorted,,,,,,,,,247,1829.0,19.50,,,,,,,,,,,,,,,,,,,,,,,5.0,,,178.0,178.0,2547
2548,F13,29/01/2013,,5,4/5,west facing section,York unsorted,,,,,,,,,167,2278.0,19.20,,,,,,,,,,,,,,,,,,,,,,,,,,1325.0,1325.0,2548
2549,F13,29/01/2013,,5,5/5,west facing section,York unsorted,,,,,,,,,205,1854.0,17.30,,,,,,,,,,,,,,,,,,,,,,,,11.0,,209.0,209.0,2549
2600,F13,29/01/2013,,6,1/1,west facing section,York unsorted,,,,,,,,,331,1552.0,17.40,,,,,,,,1.0,,,,,,,,,,,,,,,,6.0,,722.0,722.0,2600
2601,F13,,,7,1/5,west facing section,York unsorted,,,,,,,,,144,1532.0,22.00,,,,,,,,,,,,,,,,,,,,,,,,1.0,,137.0,137.0,2601
2602,F13,29/01/2013,,7,2/5,west facing section,York unsorted,,,,,,,,,223,1343.0,25.60,,,,,,,,,,,,,,,,,,,,,,,4.0,12.0,,89.0,89.0,2602
2603,F13,29/01/2013,,7,3/5,west facing section,York unsorted,,,,,,,,,194,694.0,22.60,,,,,,,,,,,1,,5.0,36.20,29.50,,,,,,,,66.0,18.0,,189.0,189.0,2603
2605,F13,29/01/2013,,7,5/5,west facing section,York unsorted,,,,,10.0,,,,243,1802.0,19.60,,,,,,3,,17.0,33.80,,,,,,,,,,,,,,,5.0,,177.0,177.0,2605
