Sample No,Strombus fasciatus             (Born 1778) Aperture
2979,20.62
2979,22.65
2979,25.44
2979,22.82
2979,21.71
2979,21.08
2979,23.78
2979,23.25
2979,19.71
2979,22.3
2979,21.46
2979,20.24
2979,22.94
2979,23.64
2979,22.17
2979,22.12
2979,20.19
2979,21.5
2979,21.5
2979,21.89
2979,21.58
2979,22.41
2980,21.63
2980,21.55
2980,19.5
2980,17.94
2980,19.01
2980,21.81
2980,20.26
2980,20.34
2982,23.64
2982,22.5
2982,22.99
2982,20.11
2982,23.45
2982,20.76
2982,22.91
2982,23.11
2982,20.15
2982,19.79
2982,22.54
2982,19.43
2982,20.06
2982,20.55
2983,21.61
2983,24.07
2983,19.82
2983,22.21
2983,23.38
2983,25.4
2983,22.48
2983,21.7
2983,21.53
2983,23.33
2983,21.18
2983,19.74
2983,17.99
2983,20.77
2983,20.32
2983,22.26
2983,19.35
2983,20.15
2983,21.57
2983,21.89
2984,23.42
2984,21.94
2984,20.47
2984,22.62
2984,21.72
2984,22.54
2984,19.71
2984,24.21
2984,21.37
2984,22.33
2984,21.66
2984,20.91
2984,20.36
2984,20.57
2984,21.32
2984,20.8
2984,20.34
2984,20.08
2984,20.55
2984,20.47
2985,22.4
2985,20.62
2985,19.34
2985,21.11
2985,20.72
2985,20.99
2985,20.8
2985,19.45
2985,21.7
2985,21.9
2985,24.91
2986,19.37
2986,23.42
2986,20.68
2986,21.44
2986,22.24
2986,22.33
2986,21.36
2986,19.7
2986,22.76
2986,21.99
2987,23.06
2987,21.4
2987,20.97
2987,22.9
2987,23.52
2987,20.8
2987,21.75
2987,14.86
2987,19.1
2987,19.76
2987,20.02
2987,20.51
2987,21.61
2987,22.13
2987,19.36
2987,21.72
2987,19.78
2987,20.27
2987,22.47
2987,19.33
2987,21.46
2987,20.57
2987,22.54
2987,20.08
2987,21.5
2987,23.68
2987,21.09
2987,20.79
2987,21.6
2988,22.29
2988,20.42
2988,22.48
2988,22.28
2988,23.21
2988,21.8
2988,21.23
2988,20.75
2988,22.61
2988,20.25
2988,21.82
2988,20.79
2988,23.06
2988,19.56
2988,23.4
2988,21.4
2988,23.09
2988,25.22
2988,21.38
2988,22.14
2988,21.8
2988,19.76
2988,20.18
2988,19.75
2988,18.92
2988,21.18
2988,21.23
2988,19.59
2988,23
2988,20.22
2988,22.27
2988,24.14
2988,20.5
2988,20.84
2988,18.37
2988,21.89
2988,21.04
2988,22.41
2988,19.12
2988,23.88
2988,21.5
2988,20.26
2988,20.16
2988,21.74
2988,21.96
2988,21.19
2988,23.54
2988,21.32
2988,21.98
2989,22.89
2989,20.81
2989,22.64
2989,22.2
2989,20.61
2989,20.56
2989,19.65
2989,21.88
2989,18.98
2989,19.75
2989,19.53
2989,19.19
2989,21.75
2989,21.18
2989,21.11
2989,20.66
2989,21.5
2989,19.91
2989,20.87
2989,20.79
2989,19.45
2989,21.41
2989,18.39
2989,30.33
2989,22.3
2989,23.12
2989,19.3
2989,20.92
2989,20.39
2989,21.4
2990,22.53
2990,20.46
2990,20.11
2990,20.45
2990,18.92
2990,23.25
2990,21.04
2990,20.17
2990,20.51
2990,22.25
2990,20.98
2990,22.6
2990,20.77
2990,19.03
2990,20.99
2990,21.11
2990,19.83
2990,20.43
2990,21.46
2990,20.64
2990,21.53
2990,20.78
2990,20.71
2990,22.92
2990,22.24
2990,19.98
2990,20.55
2990,20.02
2990,20.14
2990,20.45
2990,20.21
2990,20.42
2990,19.49
2990,20.59
2990,20.81
2990,17.97
2990,21.36
2990,21.17
2991,22.79
2991,24.91
2991,25.36
2991,20.43
2991,18.93
2991,18.77
2991,22.32
2991,20.3
2991,18.94
2991,19.68
2991,21.63
2991,21.95
2991,21.61
2991,24.96
2991,17.82
2991,20.29
2991,22.19
2991,19.93
2991,21.07
2991,21.23
2991,20.59
2991,19
2991,19.68
2991,19.74
2991,21.1
2991,21.63
2991,21.8
2991,17.68
