Sample No,Strombus fasciatus             (Born 1778) Aperture
201,22.64
201,26.23
201,26.19
201,25.67
201,25.64
201,25.45
201,24.87
201,24.75
201,24.63
201,24.48
201,24.35
201,24.2
201,24.2
201,24.18
201,24
201,23.98
201,23.82
201,23.69
201,23.68
201,23.68
201,23.67
201,23.61
201,23.5
201,23.49
201,23.45
201,23.41
201,23.4
201,23.29
201,23.28
201,23.27
201,23.2
201,23.18
201,23.17
201,23.11
201,22.93
201,22.92
201,22.83
201,22.79
201,22.74
201,22.69
201,22.67
201,22.36
201,22.25
201,22.22
201,22.22
201,22.03
201,21.96
201,21.91
201,21.89
201,21.88
201,21.88
201,21.81
201,21.64
201,21.58
201,21.48
201,21.41
201,21.39
201,21.32
201,21.32
201,21.21
201,21.14
201,21.09
201,21.06
201,21.05
201,21.01
201,20.98
201,20.94
201,20.93
201,20.92
201,20.8
201,20.77
201,20.74
201,20.6
201,20.55
201,20.48
201,20.48
201,20.46
201,20.44
201,20.43
201,20.41
201,20.07
201,19.93
201,19.83
201,19.63
201,19.6
201,19.49
201,19.42
201,19.38
201,19.24
201,19.12
202,26.92
202,25.97
202,25.38
202,24.67
202,24.6
202,24.48
202,24.19
202,24.07
202,23.8
202,23.58
202,23.57
202,23.57
202,23.53
202,23.37
202,23.35
202,23.22
202,23.21
202,23.16
202,22.98
202,22.98
202,22.73
202,22.65
202,22.61
202,22.51
202,22.42
202,22.42
202,22.28
202,22.01
202,21.94
202,21.88
202,21.79
202,21.79
202,21.79
202,21.75
202,21.65
202,21.61
202,21.52
202,21.5
202,21.5
202,21.46
202,21.43
202,21.39
202,21.37
202,21.23
202,21.2
202,20.99
202,20.89
202,20.69
202,20.65
202,20.38
202,20.22
202,19.89
202,19.68
202,18.81
202,18.8
207,21.46
207,25.66
207,24.24
207,20.73
207,20.23
207,
207,
207,
207,
207,
207,
203,26.89
203,28.58
203,27.52
203,25.96
203,25.71
203,25.45
203,25.3
203,25.08
203,24.99
203,24.93
203,24.92
203,24.89
203,24.82
203,24.66
203,24.53
203,24.5
203,24.43
203,24.39
203,24.34
203,24.24
203,24.12
203,24
203,23.94
203,23.93
203,23.88
203,23.78
203,23.74
203,23.72
203,23.68
203,23.68
203,23.47
203,23.46
203,23.43
203,23.37
203,23.16
203,23.06
203,22.92
203,22.87
203,22.87
203,22.78
203,22.76
203,22.76
203,22.62
203,22.58
203,22.53
203,22.51
203,22.48
203,22.45
203,22.41
203,22.4
203,22.31
203,22.28
203,22.2
203,22.18
203,22.18
203,22.14
203,22.02
203,21.9
203,21.81
203,21.71
203,21.35
203,21.3
203,20.98
203,20.43
203,20.3
203,19.59
204,23.9
204,26.12
204,26.08
204,25.82
204,25.79
204,25.47
204,25.21
204,25.21
204,25.19
204,25.17
204,25.06
204,24.89
204,24.77
204,24.64
204,24.61
204,24.54
204,24.37
204,24.26
204,24.09
204,24.01
204,23.99
204,23.87
204,23.64
204,23.49
204,23.22
204,23.2
204,23.18
204,23.15
204,23.12
204,23.08
204,23.02
204,22.98
204,22.93
204,22.89
204,22.8
204,22.78
204,22.77
204,22.77
204,22.68
204,22.57
204,22.46
204,22.37
204,22.24
204,22.2
204,22.1
204,22.01
204,22.01
204,21.73
204,21.65
204,21.58
204,21.55
204,21.4
204,21.19
204,21.18
204,20.86
204,20.54
204,20.5
204,20.46
205,19.31
