Sample No,Strombus fasciatus             (Born 1778) Aperture
920,21.85
920,22.01
920,21.38
920,20.39
920,21.4
920,21.97
920,24.26
920,23.19
920,22.89
920,22.86
920,23.86
920,24.72
920,23.91
920,19.08
920,22.53
920,23.52
920,22.1
920,24.33
920,24.45
920,23.73
920,21.28
920,22.11
920,20.3
920,21.97
920,24.9
920,27.12
920,20.04
920,24.35
920,24.26
920,21.42
920,24.23
920,25.74
920,20.39
920,23.03
920,23.08
920,22.58
920,23.79
920,25.96
920,22.46
920,22.75
920,25.54
920,24.29
920,22.04
920,21.45
920,22.46
920,25.05
920,22.32
920,22.49
920,24.75
920,17.04
920,23.42
920,20.63
920,25.18
920,21.03
920,24.22
920,22.54
920,22.54
920,26.38
920,26.71
920,26.87
920,20.66
920,23.21
920,22.55
920,24.08
920,22.18
920,22.81
920,25.18
920,24.35
920,23.54
