Site,Sample,Speciesname,Genus,Weight
KM1048,926,Chicoreus species,Chicoreus,169.63
KM1048,926,Rapana rapiformis,Rapana,22.5
KM1048,926,Conomurex fasciatus,Conomurex,60
KM1048,926,Arca species,Arca,15.5
KM1048,926,Chama species,Chama,432
KM1048,926,Chlamys townsendi,Chlamys,19
KM1048,926,Ostrea species,Ostrea,6
KM1048,926,Plicatula plicata,Plicatula,443.5
KM1048,926,Spondylus species,Spondylus,428.5
KM1050,343,Chicoreus species,Chicoreus,6
KM1050,343,Engina mendicaria,Engina,2.5
KM1050,343,Conomurex fasciatus,Conomurex,1189
KM1050,343,Ostreiodea species,Ostreiodea,1.5
KM1050,344,Chicoreus species,Chicoreus,12.5
KM1050,344,Chama species,Chama,3
KM1050,344,Prunum terverianum,Prunum,0.5
KM1050,344,Conomurex fasciatus,Conomurex,1489.5
KM1050,344,Ostreiodea species,Ostreiodea,1
KM1050,344,Plicatula plicata,Plicatula,4.5
KM1050,345,Chicoreus species,Chicoreus,6.5
KM1050,345,Conomurex fasciatus,Conomurex,864
KM1050,345,Ostreiodea species,Ostreiodea,0.5
KM1050,346,Conomurex fasciatus,Conomurex,1090.5
KM1050,346,Arca species,Arca,1.5
KM1050,346,Ostreiodea species,Ostreiodea,0.5
KM1050,347,Chicoreus species,Chicoreus,13.5
KM1050,347,Chama species,Chama,1.5
KM1050,347,Conomurex fasciatus,Conomurex,660.5
KM1050,347,Arca species,Arca,25.5
KM1050,347,Chama species,Chama,31.5
KM1050,347,Pinctada species,Pinctada,4
KM1050,347,Plicatula plicata,Plicatula,6.5
KM1050,347,Spondylus species,Spondylus,148.5
KM1050,348,Chicoreus species,Chicoreus,32
KM1050,348,Conomurex fasciatus,Conomurex,303
KM1050,348,Strombus species,Strombus,5
KM1050,348,Trochus species,Trochus,2.5
KM1050,348,Arca species,Arca,21
KM1050,348,Chama species,Chama,67.5
KM1050,348,Ostreiodea species,Ostreiodea,1.5
KM1050,348,Pinctada species,Pinctada,1
KM1050,348,Plicatula plicata,Plicatula,7.5
KM1050,348,Spondylus species,Spondylus,28
KM1051,338,Chicoreus species,Chicoreus,38.5
KM1051,338,Nassarius species,Nassarius,1
KM1051,338,Conomurex fasciatus,Conomurex,431
KM1051,338,Strombus tricornis,Strombus,13.5
KM1051,338,Trochus dentatus,Trochus,29.5
KM1051,338,Volema paradisiaca nodosa,Volema,2
KM1051,338,Arca species,Arca,40.5
KM1051,338,Chama species,Chama,366
KM1051,338,Ostreiodea species,Ostreiodea,18.5
KM1051,338,Pinctada species,Pinctada,27
KM1051,338,Plicatula plicata,Plicatula,65.5
KM1051,338,Spondylus species,Spondylus,143
KM1051,342,Chicoreus species,Chicoreus,6
KM1051,342,Nassarius species,Nassarius,0.5
KM1051,342,Conomurex fasciatus,Conomurex,1080
KM1051,342,Strombus tricornis,Strombus,4.5
KM1051,342,Trochus dentatus,Trochus,0.5
KM1051,342,Chama species,Chama,40
KM1051,342,Ostreiodea species,Ostreiodea,7
KM1052,536,Chicoreus species,Chicoreus,6.5
KM1052,536,Conomurex fasciatus,Conomurex,614
KM1052,536,Trochus dentatus,Trochus,0.5
KM1052,536,Anadara antiquata,Anadara,8.5
KM1052,536,Arca species,Arca,14.5
KM1052,536,Chama species,Chama,43.5
KM1052,536,Ostreiodea species,Ostreiodea,3
KM1053,537,Chicoreus species,Chicoreus,3
KM1053,537,Chama species,Chama,0.5
KM1053,537,Prunum terverianum,Prunum,1
KM1053,537,Conomurex fasciatus,Conomurex,480
KM1053,537,Arca species,Arca,4
KM1053,537,Chama species,Chama,0.5
KM1053,537,Ostreiodea species,Ostreiodea,3
KM1053,537,Pinna species,Pinna,1
KM1053,537,Spondylus species,Spondylus,64.5
KM1053,541,Chicoreus species,Chicoreus,10.5
KM1053,541,Chama species,Chama,4
KM1053,541,Prunum terverianum,Prunum,2
KM1053,541,Conomurex fasciatus,Conomurex,1393.5
KM1053,541,Trochus dentatus,Trochus,2.5
KM1053,541,Chama species,Chama,8.5
KM1053,541,Ostreiodea species,Ostreiodea,5
KM1054,545,Chicoreus species,Chicoreus,164
KM1054,545,Prunum terverianum,Prunum,0.5
KM1054,545,Conomurex fasciatus,Conomurex,448
KM1054,545,Trochus dentatus,Trochus,9
KM1054,545,Arca species,Arca,54.5
KM1054,545,Chama species,Chama,170
KM1054,545,Ostreiodea species,Ostreiodea,2.5
KM1054,545,Plicatula plicata,Plicatula,22.5
KM1054,545,Spondylus species,Spondylus,47.5
KM1056,928,Nerita textiles,Nerita,2
KM1056,928,Nerita species,Nerita,9
KM1056,928,Conomurex fasciatus,Conomurex,74
KM1056,928,Strombus tricornis,Strombus,70.50999999999999
KM1056,928,Tibia insulaechorab,Tibia,54
KM1056,928,Arca species,Arca,10.5
KM1056,928,Brachidontes variabilis,Brachidontes,0.5
KM1056,928,Chama species,Chama,12
KM1056,928,Pinctada species,Pinctada,0.5
KM1056,928,Spondylus species,Spondylus,99.5
